,desc,valor,metraje,url
55,1 Dormitorio en Lezica,U$S 47.500,,https://www.gallito.com.uy/solar-cmejoras-con-casa-un-dormitorio-planchada-inmuebles-18078647
56,2 Dormitorios en Nuevo Centro,U$S 48.000,50,https://www.gallito.com.uy/prox-antel-arenas-patio-sin-gc-inmuebles-13714878
57,2 Dormitorios en Las Acacias,U$S 48.000,160,https://www.gallito.com.uy/casa-en-venta-ideal-renta-las-acacias-inmuebles-18714095
58,4 Dormitorios en Maroñas,U$S 48.000,130,https://www.gallito.com.uy/casa-y-apartamento-jardines-del-hipodromo-inmuebles-19379703
59,2 Dormitorios en La Teja,U$S 48.000,32,https://www.gallito.com.uy/terreno-mas-casa-a-reciclar-en-la-teja-inmuebles-18253554
60,1 Dormitorio en Villa Española,U$S 48.000,39,https://www.gallito.com.uy/oficina-sosa-apto-1-dorm-en-mercado-modelo-alquilado-inmuebles-17795367
61,2 Dormitorios en Maroñas,U$S 48.000,54,https://www.gallito.com.uy/casa-2-dorm-en-calle-areguati-y-puntas-de-soto-inmuebles-15916421
62,1 Dormitorio en Cno. Maldonado,U$S 49.000,,https://www.gallito.com.uy/abipones-casi-milan-bella-italia-inmuebles-19649029
63,2 Dormitorios en Belvedere,U$S 49.000,62,https://www.gallito.com.uy/venta-casa-2-dor-belvedere-inmuebles-20033417
64,2 Dormitorios en Colon,U$S 49.000,50,https://www.gallito.com.uy/casa-tipo-duplex-en-venta-en-colon-inmuebles-14543267
65,2 Dormitorios en Aires Puros,U$S 49.000,60,https://www.gallito.com.uy/cooperativa-a-metros-de-bulevar-batlle-y-ordoñez-inmuebles-17960918
66,1 Dormitorio en Union,U$S 49.000,,https://www.gallito.com.uy/casa-venta-1-dormitorio-1-baã±o-enrique-clay-uniã³n-inmuebles-19552517
67,3 Dormitorios en Capurro,U$S 49.600,90,https://www.gallito.com.uy/casa-capurro-para-reciclar-inmuebles-19340225
68,Más de 4 dormitorios en Piedras Blancas,U$S 50.000,174,https://www.gallito.com.uy/galeano-y-mendoza-ideal-contructores-inmuebles-20108652
69,4 Dormitorios en Paso Carrasco,U$S 50.000,50,https://www.gallito.com.uy/casas-venta-montevideo-paso-carrasco-inmuebles-19825153
70,1 Dormitorio en La Comercial,U$S 50.000,50,https://www.gallito.com.uy/inversores-actualmente-esta-alquilada-se-vende-con-renta-inmuebles-19406082
71,2 Dormitorios en Manga,U$S 50.000,60,https://www.gallito.com.uy/bernardo-berro-y-estrella-polar-inmuebles-17028538
72,1 Dormitorio en Peñarol,U$S 50.000,43,https://www.gallito.com.uy/con-renta-con-gtia-contaduria-muy-prolija-inmuebles-16608558
73,2 Dormitorios en Aires Puros,U$S 50.000,,https://www.gallito.com.uy/refor-vende-casa-en-paso-molino-inmuebles-17110726
74,1 Dormitorio en Villa Española,U$S 51.000,,https://www.gallito.com.uy/hermosa-casita-en-pb-a-pasos-del-antel-arena-inmuebles-16625513
75,1 Dormitorio en Villa Española,U$S 51.990,40,https://www.gallito.com.uy/oportunidad-de-inversion-hermosa-casa-de-1-dormitorio-inmuebles-19444458
76,1 Dormitorio en Villa Española,U$S 51.990,40,https://www.gallito.com.uy/oportunidad-de-inversion-hermosa-casa-de-1-dormitorio-inmuebles-19444453
77,1 Dormitorio en Sayago,U$S 52.000,,https://www.gallito.com.uy/casa-con-entrada-independiente-con-patio-y-galpon-inmuebles-18992112
78,2 Dormitorios en Colon,U$S 52.000,70,https://www.gallito.com.uy/venta-casa-2-dormitorios-colon-inmuebles-17853576
79,1 Dormitorio en Aires Puros,U$S 52.500,25,https://www.gallito.com.uy/casa-1-dorm-y-patio-en-av-general-flores-inmuebles-20067142
